Algo;Probl̬me;Seed;N;K;Temps;
bfs;dum;100;100;2;111;
bfs;dum;100;100;3;75;
bfs;dum;100;100;4;112;
bfs;dum;100;100;5;94;
bfs;dum;100;100;6;91;
bfs;dum;100;100;7;124;
bfs;dum;100;100;8;98;
bfs;dum;100;100;9;96;
bfs;dum;100;100;10;142;
bfs;dum;100;100;11;109;
bfs;dum;100;100;12;126;
bfs;dum;100;100;13;128;
bfs;dum;100;100;14;139;
bfs;dum;100;100;15;130;
bfs;dum;100;100;16;153;
bfs;dum;100;100;17;130;
bfs;dum;100;100;18;169;
bfs;dum;100;100;19;150;
bfs;dum;100;100;20;185;
bfs;dum;100;100;21;147;
bfs;dum;100;100;22;192;
bfs;dum;100;100;23;150;
bfs;dum;100;100;24;239;
bfs;dum;100;100;25;180;
bfs;dum;100;100;26;196;
bfs;dum;100;100;27;164;
bfs;dum;100;100;28;219;
bfs;dum;100;100;29;180;
bfs;dum;100;100;30;264;
bfs;dum;100;100;31;274;
bfs;dum;100;100;32;259;
bfs;dum;100;100;33;274;
bfs;dum;100;100;34;287;
bfs;dum;100;100;35;283;
bfs;dum;100;100;36;313;
bfs;dum;100;100;37;351;
bfs;dum;100;100;38;340;
bfs;dum;100;100;39;374;
bfs;dum;100;100;40;427;
bfs;dum;100;100;41;339;
bfs;dum;100;100;42;380;
bfs;dum;100;100;43;389;
bfs;dum;100;100;44;412;
bfs;dum;100;100;45;455;
bfs;dum;100;100;46;466;
bfs;dum;100;100;47;540;
bfs;dum;100;100;48;461;
bfs;dum;100;100;49;500;
